school_id,stage,reason,candidate_info,top_candidates
edb_114707000123,小學,"No CHSC match","NEW TERRITORIES WOMEN & JUVENILES WELFARE ASSOCIATION LTD. LEUNG SING TAK PRIMARY SCHOOL | 新界婦孺福利會有限公司梁省德學校 | 大埔區","新界婦孺福利會梁省德學校(0.625); NTWJWA Ltd. Leung Sing Tak Primary School(0.333); 新界婦孺福利會基督教銘恩小學(0.273)"
edb_541915000123,小學,"No CHSC match","KINGSTON INTERNATIONAL SCHOOL | 京斯敦國際學校 | 九龍城區","Lions Clubs International Ho Tak Sum Primary School(0.143); International Christian Quality Music Sec. and Pri. School(0.125); 救恩學校(0.125)"
edb_570370000323,小學,"No CHSC match","THE HARBOUR SCHOOL | 港灣學校 | 南區","救恩學校(0.200); 慈幼學校(0.200); 聖家學校(0.200)"
edb_214558000121,小學,"No CHSC match","GERMAN SWISS INTERNATIONAL SCHOOL | 德瑞國際學校 | 南區","救恩學校(0.143); 慈幼學校(0.143); 聖家學校(0.143)"
edb_518620000423,小學,"No CHSC match","LANTAU INTERNATIONAL SCHOOL | LANTAU INTERNATIONAL SCHOOL | 離島區","Lions Clubs International Ho Tak Sum Primary School(0.143); International Christian Quality Music Sec. and Pri. School(0.125); 350。"",各級專項運動收費，如：攀石、游泳課等，每年收費約$100。,24,2,3,1,25間：創科學習室、校園電視台室、沉浸科技教室、音樂室、樂器學習室、視藝室、科學實驗室、芭蕾舞室、言語治療室、遊戲學習室、6個自學角,全校已舖設WIFI網絡，亦備有超過100部IPAD供電子學習之用。<br>而課室內已安裝各項電子教學設備。,斜道、暢通易達升降機、暢通易達洗手間、觸覺引路帶、暢通易達的公共詢問或服務櫃枱及視像火警警報系統。,47,50,100,100,54,20,10,18,72,4,4,4,4,4,4,24,4,4,4,4,4,4,24,以小班教學模式，按學生能力而因材施教。,-,0,2,有,0,3,有,有,有,為學生提供進展性評估課業與分程度的總結性評估課業，並透過趣味功課、假期任務、專題研習、科學實驗等，評估學生的應用共通能力，推行進展性評估。,有,有,綜合學生的學習成績、課堂表現，以及學習態度來進行分班。,5,8,30,7:40,上午,2:35,下午,11:45,12:45,由指定供應商提供及由家長安排。,「以愛牧羊，燃亮主愛」為學校營造關愛校園文化的宗旨，讓學生建立良好健康的生活習慣、正面的人生觀與價值觀，以見證主耶穌的大愛。,「並肩培育豐盛生命、攜手見證基督大愛」乃本校的辦學願景，因此本校一向著重基督教教育理念，致力培育學生正向品格。透過課程發展，將本校的正向教育核心元素包括：仁愛、成就、意義及投入，融入校本學科課程及中華文化教育，製造有意義的學習經歷及成果。,音樂教育卓越，管弦樂隊、弦樂隊、管樂隊、節奏樂隊等屢獲殊榮；積極發展體育，包括游泳課及攀石課程等；STEAM教育活動及多元智能活動豐富，包括宗教活動、資訊科技活動、閱讀、朗誦、制服團隊、戲劇、奧林匹克數學及各類資優小組等。,勉勵學生確立有意義的人生目標，培養他們具備淳樸的品格、良好的音樂情操、獨立的思考及分析能力，使之他日成為社會上有責任感和有使命感的良好公民，成為耶穌合用的器皿。,http://www.ccckeiwan.edu.hk,本校隸屬於中華基督教會香港區會，法團校董會負責監察學校的運作及提供意見。詳情可參閱本校網頁。,本校法團校董會早於2006成立，成員共十五人，包括校監、校長、神職人員、獨立的專業人士、校友、家長及教師代表，以聽取不同持分者的意見和引入不同別人士的專業知識和經驗，促進學校的持續發展。,本校積極推動環保教育，校內設立綠田園和不同的環保系統，透過可再生能源教育及種植活動，提升學生的環保意識。,,本校以愛心和耐心引導學生確立有意義的人生目標，幫助他們培養淳樸的品格、良好的音樂情操、學習豐富的知識以及鍛鍊獨立的思考和分析能力，務求盡展潛能，日後成為有使命感的良好公民，服務人群，回饋社會。,http://www.ccckeiwan.edu.hk,每天均有班主任課及早會前圖書閱讀課。課後進行不同類型的活動。逢週三、五更提早放學，為學生創造更多的學習空間與時間。<br>（請參閱本校網址：http://www.ccckeiwan.edu.hk）,1.　培養師生僕人領袖素質，建構正向文化。<br>2.　了解學生獨特之處，實踐普及資優教育。,透過各科的單元教學及STEAM活動，培育學生共通能力。強調學生自主學習及思維能力訓練，綜合應用的能力，為升中奠定良好基礎。,學校重視培育學生良好習慣，積極學習。以VASE獎勵計劃，生活化的題材，鼓勵學生積極向上，促進學生全人發展。此外，還著重聖經真理及品格培養，又透過電影教育及戲劇教育，培養學生感恩珍惜、積極樂觀的態度。,,透過拔尖補底課程、小海豚關愛計劃、大哥哥大姐姐計劃，以照顧學生學習差異，支援個別學生。為資優學生提供優質而具挑戰性的課程，包括以課堂、講座、工作坊、網上學習、遊學團及比賽等形式，讓潛能得以發揮。,本校致力落實「全校參與」模式，推行校本支援服務，服務包括及早識別及介入計劃、多元支援計劃等，以全面支援有不同學習需要的學生。,,各科的課程內容進行合適的增刪和調適，亦為有需要的同學提供增潤或調適課程，以照顧學生的多樣性。,http://www.ccckeiwan.edu.hk,1.　定期舉辦各級家長講座，支援不同成長階段的需要。<br>2.　家長教師會及家長義工，協助舉行各類大型活動，促進家校合作。,秉承區會辦學目的「透過學校、傳道服務」，藉著宗教及正向教育，培養學生愛人如己、謙虛純樸的品格。又推行校本輔導活動，善用家長與社區資源，擴闊學生生活經驗，培養積極的人生觀。,http://www.ccckeiwan.edu.hk,1.　培養學生僕人領袖素質，建構正向校園文化。<br>2.　讓學生發掘獨特之處，展現個人才能，實踐普及資優教育。,與大學專家合作進行課程研究；與中學及幼稚園進行學科銜接交流；定期舉行品德教育及生命教育培訓等。,每年學校均會舉辦不同的海外及內地交流活動（由2001年開始，本校學生已遍踏超過30個不同的海外地區，包括：英國、波蘭、德國、加拿大、澳洲、夏威夷、奧地利、新加坡、日本、韓國等地作學術或音樂交流）。<br>本校更為六年級同學提供一特色課程，同學們會到沙巴及海外等地，深度了解當地文化，並進行生態學習，拓展視野。,(0.001)"
edb_214949000123,小學,"No CHSC match","LYC'EE FRANCAIS INTERNATIONAL (FRENCH INTERNATIONAL SCHOOL) | LYC'EE FRANCAIS INTERNATIONAL (FRENCH INTERNATIONAL SCHOOL) | 東區","Lions Clubs International Ho Tak Sum Primary School(0.100); International Christian Quality Music Sec. and Pri. School(0.091); 350。"",各級專項運動收費，如：攀石、游泳課等，每年收費約$100。,24,2,3,1,25間：創科學習室、校園電視台室、沉浸科技教室、音樂室、樂器學習室、視藝室、科學實驗室、芭蕾舞室、言語治療室、遊戲學習室、6個自學角,全校已舖設WIFI網絡，亦備有超過100部IPAD供電子學習之用。<br>而課室內已安裝各項電子教學設備。,斜道、暢通易達升降機、暢通易達洗手間、觸覺引路帶、暢通易達的公共詢問或服務櫃枱及視像火警警報系統。,47,50,100,100,54,20,10,18,72,4,4,4,4,4,4,24,4,4,4,4,4,4,24,以小班教學模式，按學生能力而因材施教。,-,0,2,有,0,3,有,有,有,為學生提供進展性評估課業與分程度的總結性評估課業，並透過趣味功課、假期任務、專題研習、科學實驗等，評估學生的應用共通能力，推行進展性評估。,有,有,綜合學生的學習成績、課堂表現，以及學習態度來進行分班。,5,8,30,7:40,上午,2:35,下午,11:45,12:45,由指定供應商提供及由家長安排。,「以愛牧羊，燃亮主愛」為學校營造關愛校園文化的宗旨，讓學生建立良好健康的生活習慣、正面的人生觀與價值觀，以見證主耶穌的大愛。,「並肩培育豐盛生命、攜手見證基督大愛」乃本校的辦學願景，因此本校一向著重基督教教育理念，致力培育學生正向品格。透過課程發展，將本校的正向教育核心元素包括：仁愛、成就、意義及投入，融入校本學科課程及中華文化教育，製造有意義的學習經歷及成果。,音樂教育卓越，管弦樂隊、弦樂隊、管樂隊、節奏樂隊等屢獲殊榮；積極發展體育，包括游泳課及攀石課程等；STEAM教育活動及多元智能活動豐富，包括宗教活動、資訊科技活動、閱讀、朗誦、制服團隊、戲劇、奧林匹克數學及各類資優小組等。,勉勵學生確立有意義的人生目標，培養他們具備淳樸的品格、良好的音樂情操、獨立的思考及分析能力，使之他日成為社會上有責任感和有使命感的良好公民，成為耶穌合用的器皿。,http://www.ccckeiwan.edu.hk,本校隸屬於中華基督教會香港區會，法團校董會負責監察學校的運作及提供意見。詳情可參閱本校網頁。,本校法團校董會早於2006成立，成員共十五人，包括校監、校長、神職人員、獨立的專業人士、校友、家長及教師代表，以聽取不同持分者的意見和引入不同別人士的專業知識和經驗，促進學校的持續發展。,本校積極推動環保教育，校內設立綠田園和不同的環保系統，透過可再生能源教育及種植活動，提升學生的環保意識。,,本校以愛心和耐心引導學生確立有意義的人生目標，幫助他們培養淳樸的品格、良好的音樂情操、學習豐富的知識以及鍛鍊獨立的思考和分析能力，務求盡展潛能，日後成為有使命感的良好公民，服務人群，回饋社會。,http://www.ccckeiwan.edu.hk,每天均有班主任課及早會前圖書閱讀課。課後進行不同類型的活動。逢週三、五更提早放學，為學生創造更多的學習空間與時間。<br>（請參閱本校網址：http://www.ccckeiwan.edu.hk）,1.　培養師生僕人領袖素質，建構正向文化。<br>2.　了解學生獨特之處，實踐普及資優教育。,透過各科的單元教學及STEAM活動，培育學生共通能力。強調學生自主學習及思維能力訓練，綜合應用的能力，為升中奠定良好基礎。,學校重視培育學生良好習慣，積極學習。以VASE獎勵計劃，生活化的題材，鼓勵學生積極向上，促進學生全人發展。此外，還著重聖經真理及品格培養，又透過電影教育及戲劇教育，培養學生感恩珍惜、積極樂觀的態度。,,透過拔尖補底課程、小海豚關愛計劃、大哥哥大姐姐計劃，以照顧學生學習差異，支援個別學生。為資優學生提供優質而具挑戰性的課程，包括以課堂、講座、工作坊、網上學習、遊學團及比賽等形式，讓潛能得以發揮。,本校致力落實「全校參與」模式，推行校本支援服務，服務包括及早識別及介入計劃、多元支援計劃等，以全面支援有不同學習需要的學生。,,各科的課程內容進行合適的增刪和調適，亦為有需要的同學提供增潤或調適課程，以照顧學生的多樣性。,http://www.ccckeiwan.edu.hk,1.　定期舉辦各級家長講座，支援不同成長階段的需要。<br>2.　家長教師會及家長義工，協助舉行各類大型活動，促進家校合作。,秉承區會辦學目的「透過學校、傳道服務」，藉著宗教及正向教育，培養學生愛人如己、謙虛純樸的品格。又推行校本輔導活動，善用家長與社區資源，擴闊學生生活經驗，培養積極的人生觀。,http://www.ccckeiwan.edu.hk,1.　培養學生僕人領袖素質，建構正向校園文化。<br>2.　讓學生發掘獨特之處，展現個人才能，實踐普及資優教育。,與大學專家合作進行課程研究；與中學及幼稚園進行學科銜接交流；定期舉行品德教育及生命教育培訓等。,每年學校均會舉辦不同的海外及內地交流活動（由2001年開始，本校學生已遍踏超過30個不同的海外地區，包括：英國、波蘭、德國、加拿大、澳洲、夏威夷、奧地利、新加坡、日本、韓國等地作學術或音樂交流）。<br>本校更為六年級同學提供一特色課程，同學們會到沙巴及海外等地，深度了解當地文化，並進行生態學習，拓展視野。,(0.001)"
edb_606766000123,小學,"No CHSC match","MALVERN COLLEGE HONG KONG | 香港墨爾文國際學校 | 大埔區","Canossa School (Hong Kong)(0.333); Hong Kong Baptist Convention Primary School(0.333); Chiu Sheung School, Hong Kong(0.286)"
edb_603902000123,小學,"No CHSC match","AMERICAN SCHOOL HONG KONG | AMERICAN SCHOOL HONG KONG | 大埔區","Canossa School (Hong Kong)(0.600); Chiu Sheung School, Hong Kong(0.500); Chiu Yang Primary School of Hong Kong(0.375)"
edb_607525000123,小學,"No CHSC match","SHREWSBURY INTERNATIONAL SCHOOL HONG KONG | 思貝禮國際學校 | 西貢區","Canossa School (Hong Kong)(0.500); Chiu Sheung School, Hong Kong(0.429); Chiu Yang Primary School of Hong Kong(0.333)"
edb_214949000723,小學,"No CHSC match","LYC'EE FRANCAIS INTERNATIONAL (FRENCH INTERNATIONAL SCHOOL) | LYC'EE FRANCAIS INTERNATIONAL (FRENCH INTERNATIONAL SCHOOL) | 東區","Lions Clubs International Ho Tak Sum Primary School(0.100); International Christian Quality Music Sec. and Pri. School(0.091); 350。"",各級專項運動收費，如：攀石、游泳課等，每年收費約$100。,24,2,3,1,25間：創科學習室、校園電視台室、沉浸科技教室、音樂室、樂器學習室、視藝室、科學實驗室、芭蕾舞室、言語治療室、遊戲學習室、6個自學角,全校已舖設WIFI網絡，亦備有超過100部IPAD供電子學習之用。<br>而課室內已安裝各項電子教學設備。,斜道、暢通易達升降機、暢通易達洗手間、觸覺引路帶、暢通易達的公共詢問或服務櫃枱及視像火警警報系統。,47,50,100,100,54,20,10,18,72,4,4,4,4,4,4,24,4,4,4,4,4,4,24,以小班教學模式，按學生能力而因材施教。,-,0,2,有,0,3,有,有,有,為學生提供進展性評估課業與分程度的總結性評估課業，並透過趣味功課、假期任務、專題研習、科學實驗等，評估學生的應用共通能力，推行進展性評估。,有,有,綜合學生的學習成績、課堂表現，以及學習態度來進行分班。,5,8,30,7:40,上午,2:35,下午,11:45,12:45,由指定供應商提供及由家長安排。,「以愛牧羊，燃亮主愛」為學校營造關愛校園文化的宗旨，讓學生建立良好健康的生活習慣、正面的人生觀與價值觀，以見證主耶穌的大愛。,「並肩培育豐盛生命、攜手見證基督大愛」乃本校的辦學願景，因此本校一向著重基督教教育理念，致力培育學生正向品格。透過課程發展，將本校的正向教育核心元素包括：仁愛、成就、意義及投入，融入校本學科課程及中華文化教育，製造有意義的學習經歷及成果。,音樂教育卓越，管弦樂隊、弦樂隊、管樂隊、節奏樂隊等屢獲殊榮；積極發展體育，包括游泳課及攀石課程等；STEAM教育活動及多元智能活動豐富，包括宗教活動、資訊科技活動、閱讀、朗誦、制服團隊、戲劇、奧林匹克數學及各類資優小組等。,勉勵學生確立有意義的人生目標，培養他們具備淳樸的品格、良好的音樂情操、獨立的思考及分析能力，使之他日成為社會上有責任感和有使命感的良好公民，成為耶穌合用的器皿。,http://www.ccckeiwan.edu.hk,本校隸屬於中華基督教會香港區會，法團校董會負責監察學校的運作及提供意見。詳情可參閱本校網頁。,本校法團校董會早於2006成立，成員共十五人，包括校監、校長、神職人員、獨立的專業人士、校友、家長及教師代表，以聽取不同持分者的意見和引入不同別人士的專業知識和經驗，促進學校的持續發展。,本校積極推動環保教育，校內設立綠田園和不同的環保系統，透過可再生能源教育及種植活動，提升學生的環保意識。,,本校以愛心和耐心引導學生確立有意義的人生目標，幫助他們培養淳樸的品格、良好的音樂情操、學習豐富的知識以及鍛鍊獨立的思考和分析能力，務求盡展潛能，日後成為有使命感的良好公民，服務人群，回饋社會。,http://www.ccckeiwan.edu.hk,每天均有班主任課及早會前圖書閱讀課。課後進行不同類型的活動。逢週三、五更提早放學，為學生創造更多的學習空間與時間。<br>（請參閱本校網址：http://www.ccckeiwan.edu.hk）,1.　培養師生僕人領袖素質，建構正向文化。<br>2.　了解學生獨特之處，實踐普及資優教育。,透過各科的單元教學及STEAM活動，培育學生共通能力。強調學生自主學習及思維能力訓練，綜合應用的能力，為升中奠定良好基礎。,學校重視培育學生良好習慣，積極學習。以VASE獎勵計劃，生活化的題材，鼓勵學生積極向上，促進學生全人發展。此外，還著重聖經真理及品格培養，又透過電影教育及戲劇教育，培養學生感恩珍惜、積極樂觀的態度。,,透過拔尖補底課程、小海豚關愛計劃、大哥哥大姐姐計劃，以照顧學生學習差異，支援個別學生。為資優學生提供優質而具挑戰性的課程，包括以課堂、講座、工作坊、網上學習、遊學團及比賽等形式，讓潛能得以發揮。,本校致力落實「全校參與」模式，推行校本支援服務，服務包括及早識別及介入計劃、多元支援計劃等，以全面支援有不同學習需要的學生。,,各科的課程內容進行合適的增刪和調適，亦為有需要的同學提供增潤或調適課程，以照顧學生的多樣性。,http://www.ccckeiwan.edu.hk,1.　定期舉辦各級家長講座，支援不同成長階段的需要。<br>2.　家長教師會及家長義工，協助舉行各類大型活動，促進家校合作。,秉承區會辦學目的「透過學校、傳道服務」，藉著宗教及正向教育，培養學生愛人如己、謙虛純樸的品格。又推行校本輔導活動，善用家長與社區資源，擴闊學生生活經驗，培養積極的人生觀。,http://www.ccckeiwan.edu.hk,1.　培養學生僕人領袖素質，建構正向校園文化。<br>2.　讓學生發掘獨特之處，展現個人才能，實踐普及資優教育。,與大學專家合作進行課程研究；與中學及幼稚園進行學科銜接交流；定期舉行品德教育及生命教育培訓等。,每年學校均會舉辦不同的海外及內地交流活動（由2001年開始，本校學生已遍踏超過30個不同的海外地區，包括：英國、波蘭、德國、加拿大、澳洲、夏威夷、奧地利、新加坡、日本、韓國等地作學術或音樂交流）。<br>本校更為六年級同學提供一特色課程，同學們會到沙巴及海外等地，深度了解當地文化，並進行生態學習，拓展視野。,(0.001)"
edb_230979000123,小學,"No CHSC match","INTERNATIONAL COLLEGE HONG KONG HONG LOK YUEN (PRIMARY SECTION) | INTERNATIONAL COLLEGE HONG KONG HONG LOK YUEN (PRIMARY SECTION) | 大埔區","Raimondi College Primary Section(0.333); Hon Wah College (Primary Section)(0.300); St. Johannes College (Primary Section)(0.300)"
edb_534579000133,中學,"No CHSC match","SEAR ROGERS INTERNATIONAL SCHOOL | 弘爵國際學校 | 荃灣區","德望學校(0.143); Lions Clubs International Tseung Chui King College(0.125); 鄧鏡波學校(0.125)"
edb_215406000433,中學,"No CHSC match","KELLETT SCHOOL | KELLETT SCHOOL | 觀塘區","Diocesan Boys' School(0.000); Diocesan Girls' School(0.000); Po Leung Kuk Lo Kit Sing (1983) College(0.000)"
edb_548430000633,中學,"No CHSC match","THE INTERNATIONAL MONTESSORI SCHOOL - AN IMEF SCHOOL | 蒙特梭利國際學校 | 南區","Delia Memorial School (Broadway)(0.143); Concordia Lutheran School - North Point(0.125); Delia Memorial School (Glee Path)(0.125)"
edb_570370000333,中學,"No CHSC match","THE HARBOUR SCHOOL | 港灣學校 | 南區","德望學校(0.200); 鄧鏡波學校(0.167); 聖保祿學校(0.167)"
edb_598356000333,中學,"No CHSC match","NORD ANGLIA INTERNATIONAL SCHOOL, HONG KONG | NORD ANGLIA INTERNATIONAL SCHOOL, HONG KONG | 觀塘區","The True Light School of Hong Kong(0.333); Hong Kong Sea School(0.286); Hong Kong True Light College(0.250)"
edb_605557000133,中學,"No CHSC match","CHRISTIAN ALLIANCE INTERNATIONAL SCHOOL | 宣道國際學校 | 深水埗區","Christian Alliance College(0.667); Christian Alliance Cheng Wing Gee College(0.333); Christian & Missionary Alliance Sun Kei Secondary School(0.286)"
edb_215791000133,中學,"No CHSC match","DSC INTERNATIONAL SCHOOL | 德思齊加拿大國際學校 | 東區","Lions Clubs International Tseung Chui King College(0.143); 加拿大神召會嘉智中學(0.125); 德望學校(0.091)"
edb_216003000433,中學,"No CHSC match","SINGAPORE INTERNATIONAL SCHOOL (HONG KONG) | 新加坡國際學校 | 南區","The True Light School of Hong Kong(0.375); Hong Kong Sea School(0.333); Hong Kong True Light College(0.286)"
edb_216011000533,中學,"No CHSC match","CANADIAN INTERNATIONAL SCHOOL | 加拿大國際學校 | 南區","加拿大神召會嘉智中學(0.154); Lions Clubs International Tseung Chui King College(0.143); 德望學校(0.125)"
edb_287695000233,中學,"No CHSC match","AMERICAN INTERNATIONAL SCHOOL | 美國國際學校 | 九龍城區","Lions Clubs International Tseung Chui King College(0.143); 德望學校(0.143); 鄧鏡波學校(0.125)"
edb_230987000233,中學,"No CHSC match","DISCOVERY BAY INTERNATIONAL SCHOOL | DISCOVERY BAY INTERNATIONAL SCHOOL | 離島區","Lions Clubs International Tseung Chui King College(0.125); Diocesan Boys' School(0.000); Diocesan Girls' School(0.000)"
edb_215996000133,中學,"No CHSC match","CONCORDIA INTERNATIONAL SCHOOL | 協同國際學校 | 深水埗區","Concordia Lutheran School(0.333); Concordia Lutheran School - North Point(0.167); Lions Clubs International Tseung Chui King College(0.143)"
edb_539155000333,中學,"No CHSC match","HONG KONG ACADEMY | 香港學堂國際學校 | 西貢區","Hong Kong Sea School(0.500); Hong Kong True Light College(0.400); Munsang College (Hong Kong Island)(0.333)"
edb_214558000133,中學,"No CHSC match","GERMAN SWISS INTERNATIONAL SCHOOL | 德瑞國際學校 | 南區","德望學校(0.143); Lions Clubs International Tseung Chui King College(0.125); 鄧鏡波學校(0.125)"
edb_215589000133,中學,"No CHSC match","CHINESE INTERNATIONAL SCHOOL | 漢基國際學校 | 東區","The Chinese Foundation Secondary School(0.333); Chinese Y.M.C.A. College(0.200); Chinese Y.M.C.A. Secondary School(0.200)"
edb_216275000633,中學,"No CHSC match","AUSTRALIAN INTERNATIONAL SCHOOL HONG KONG | 香港澳洲國際學校 | 九龍城區","The True Light School of Hong Kong(0.375); Hong Kong Sea School(0.333); Hong Kong True Light College(0.286)"
edb_216216000133,中學,"No CHSC match","KOREAN INTERNATIONAL SCHOOL | KOREAN INTERNATIONAL SCHOOL | 東區","Lions Clubs International Tseung Chui King College(0.143); Diocesan Boys' School(0.000); Diocesan Girls' School(0.000)"
edb_213772000233,中學,"No CHSC match","HONG KONG INTERNATIONAL SCHOOL | HONG KONG INTERNATIONAL SCHOOL | 南區","Hong Kong Sea School(0.500); Hong Kong True Light College(0.400); Munsang College (Hong Kong Island)(0.333)"
edb_590800000133,中學,"No CHSC match","HARROW INTERNATIONAL SCHOOL HONG KONG | 哈羅香港國際學校 | 屯門區","The True Light School of Hong Kong(0.375); Hong Kong Sea School(0.333); Hong Kong True Light College(0.286)"
edb_230987000133,中學,"No CHSC match","DISCOVERY BAY INTERNATIONAL SCHOOL | DISCOVERY BAY INTERNATIONAL SCHOOL | 離島區","Lions Clubs International Tseung Chui King College(0.125); Diocesan Boys' School(0.000); Diocesan Girls' School(0.000)"
edb_214949000433,中學,"No CHSC match","LYC'EE FRANCAIS INTERNATIONAL (FRENCH INTERNATIONAL SCHOOL) | LYC'EE FRANCAIS INTERNATIONAL (FRENCH INTERNATIONAL SCHOOL) | 東區","Lions Clubs International Tseung Chui King College(0.100); Diocesan Boys' School(0.000); Diocesan Girls' School(0.000)"
edb_578789000133,中學,"No CHSC match","INTERNATIONAL COLLEGE HONG KONG (NEW TERRITORIES) | INTERNATIONAL COLLEGE HONG KONG (NEW TERRITORIES) | 北區","Munsang College (Hong Kong Island)(0.375); Wah Yan College Hong Kong(0.375); Hong Kong Sea School(0.286)"
edb_317357000133,中學,"No CHSC match","HONGKONG JAPANESE SCHOOL | HONGKONG JAPANESE SCHOOL | 灣仔區","Diocesan Boys' School(0.000); Diocesan Girls' School(0.000); Po Leung Kuk Lo Kit Sing (1983) College(0.000)"
edb_606766000133,中學,"No CHSC match","MALVERN COLLEGE HONG KONG | 香港墨爾文國際學校 | 大埔區","Munsang College (Hong Kong Island)(0.500); Wah Yan College Hong Kong(0.500); Hong Kong Sea School(0.400)"
edb_603902000133,中學,"No CHSC match","AMERICAN SCHOOL HONG KONG | AMERICAN SCHOOL HONG KONG | 大埔區","The True Light School of Hong Kong(0.429); Hong Kong Sea School(0.400); Hong Kong True Light College(0.333)"
edb_214949000733,中學,"No CHSC match","LYC'EE FRANCAIS INTERNATIONAL (FRENCH INTERNATIONAL SCHOOL) | LYC'EE FRANCAIS INTERNATIONAL (FRENCH INTERNATIONAL SCHOOL) | 東區","Lions Clubs International Tseung Chui King College(0.100); Diocesan Boys' School(0.000); Diocesan Girls' School(0.000)"
edb_130060000123,小學,"No CHSC match","VNSAA ST. HILARY'S SCHOOL | 漢師德萃學校 | 油尖旺區","St. Anthony's School(0.400); St. Clare's Primary School(0.400); St. Joseph's Primary School(0.400)"
edb_603600000123,小學,"No CHSC match","ST. HILARY'S PRIMARY SCHOOL | 德萃小學 | 大埔區","St. Anthony's School(0.500); St. Clare's Primary School(0.500); St. Joseph's Primary School(0.500)"
edb_543560000423,小學,"No CHSC match","PO LEUNG KUK CHOI KAI YAU SCHOOL | 保良局蔡繼有學校 | 深水埗區","Po Leung Kuk Castar Primary School(0.429); Po Leung Kuk Grandmont Primary School(0.429); Po Leung Kuk Chan Yat Primary School(0.375)"
edb_626902000123,小學,"No CHSC match","LINDEN SCHOOL | 博睿學校 | 深水埗區","救恩學校(0.200); 慈幼學校(0.200); 聖家學校(0.200)"
edb_615285000123,小學,"No CHSC match","INVICTUS SCHOOL | INVICTUS SCHOOL | 西貢區","S.K.H. St. Matthew's Primary School(0.000); St. Paul's College Primary School(0.000); Catholic Mission School(0.000)"
edb_607371000223,小學,"No CHSC match","DALTON SCHOOL HONG KONG | 香港道爾頓學校 | 灣仔區","Canossa School (Hong Kong)(0.600); Chiu Sheung School, Hong Kong(0.500); Chiu Yang Primary School of Hong Kong(0.375)"
edb_589055000123,小學,"No CHSC match","YMCA CHRISTIAN ACADEMY | 中華基督教青年會基雋小學 | 中西區","中華基督教青年會小學(0.667); 中華基督教會基灣小學(0.429); 中華基督教會基法小學(0.429)"
edb_609781000123,小學,"No CHSC match","HONGKONG LIMAI SCHOOL | 香港力邁學校 | 油尖旺區","香港潮商學校(0.250); 香港嘉諾撒學校(0.222); 香港道教聯合會雲泉學校(0.154)"
edb_609781000223,小學,"No CHSC match","HONGKONG LIMAI SCHOOL | 香港力邁學校 | 油尖旺區","香港潮商學校(0.250); 香港嘉諾撒學校(0.222); 香港道教聯合會雲泉學校(0.154)"
edb_112720000123,小學,"No CHSC match","R.T.C. GAIA SCHOOL | 鄉師自然學校 | 屯門區","G.C.C.I.T.K.D. Cheong Wong Wai Primary School(0.182); S.R.B.C.E.P.S.A. Ho Sau Ki School(0.182); C.C.C. Kei Wan Primary School(0.167)"
edb_596140000123,小學,"No CHSC match","FOREST HOUSE WALDORF SCHOOL | 樹宏學校 | 西貢區","救恩學校(0.200); 慈幼學校(0.200); 聖家學校(0.200)"
edb_617334000123,小學,"No CHSC match","OXBRIDGE BRITISH SCHOOL | 劍津英國學校 | 九龍城區","救恩學校(0.143); 慈幼學校(0.143); 聖家學校(0.143)"
edb_620548000123,小學,"No CHSC match","GARDEN HOUSE WALDORF SCHOOL | 花園華德福學校 | 西貢區","華德學校(0.286); 九龍塘天主教華德學校(0.154); 救恩學校(0.125)"
edb_617334000223,小學,"No CHSC match","OXBRIDGE BRITISH SCHOOL | 劍津英國學校 | 九龍城區","救恩學校(0.143); 慈幼學校(0.143); 聖家學校(0.143)"
edb_620785000123,小學,"No CHSC match","ANFIELD ST. BOSCO KOON YING SCHOOL | 安菲爾聖鮑思高冠英學校 | 元朗區","St. Charles School(0.167); St. Antonius Primary School(0.167); Tung Koon School(0.167)"
edb_606812000123,小學,"No CHSC match","ACADEMY OF INNOVATION PRIMARY SCHOOL | 禮仁小學 | 灣仔區","獻主會溥仁小學(0.286); Anchors Academy(0.250); 番禺會所華仁小學(0.250)"
edb_571130000323,小學,"No CHSC match","AOI PUI SCHOOL | 愛培學校 | 九龍城區","Pui Kiu Primary School(0.333); Pui Ching Primary School(0.333); Pui Kiu College(0.333)"
edb_609498000223,小學,"No CHSC match","SPANISH SCHOOL OF HONG KONG | 香港西班牙學校 | 大埔區","Canossa School (Hong Kong)(0.500); Chiu Yang Primary School of Hong Kong(0.500); Chiu Sheung School, Hong Kong(0.429)"
edb_619957000123,小學,"No CHSC match","AP SCHOOL | 奧柏學校 | 觀塘區","救恩學校(0.200); 慈幼學校(0.200); 聖家學校(0.200)"
edb_609498000123,小學,"No CHSC match","SPANISH SCHOOL OF HONG KONG | 香港西班牙學校 | 大埔區","Canossa School (Hong Kong)(0.500); Chiu Yang Primary School of Hong Kong(0.500); Chiu Sheung School, Hong Kong(0.429)"
edb_216224000123,小學,"No CHSC match","AOG ST. HILARY'S COLLEGE | 神召會德萃書院 | 黃大仙區","St. Anthony's School(0.400); St. Clare's Primary School(0.400); St. Joseph's Primary School(0.400)"
edb_607290000123,小學,"No CHSC match","HKCA PO LEUNG KUK SCHOOL | 保良局建造商會學校 | 灣仔區","Po Leung Kuk Castar Primary School(0.600); Po Leung Kuk Grandmont Primary School(0.600); Po Leung Kuk Chan Yat Primary School(0.500)"
